id;create_date;consumer_app_id;payment_subject;customer_id;trace_code;status;decription;amount;response_info;request_info
1;2020-02-12T22:43:21;11249;Integration;16648;Pizza;ACTIVE;web-enabled Bedfordshire Program;54757;Bacon Automotive;TCP Drives Sports
2;2020-02-13T17:30:45;21825;Clothing cultivate Savings Account;58147;Granite quantify;ACTIVE;e-markets;79921;architect Bedfordshire Jewelery;Accountability
3;2020-02-13T05:41:16;660;Mountain transmitting GB;58658;viral invoice database;ACTIVE;Peso Uruguayo Uruguay Peso en Unidades Indexadas schemas pricing structure;14296;deposit technologies;Health
4;2020-02-13T21:29:03;48204;Salad;27927;connect panel e-markets;FAILED;Open-source;592;incentivize Arkansas card;Personal Loan Account transmitter
5;2020-02-13T10:01:01;20456;Home Loan Account;93787;Indiana navigate Books;ACTIVE;Rubber;93027;Road Berkshire;scale analyzing Chief
6;2020-02-13T06:52:38;87272;Lead Division;14388;Tennessee Product;ACTIVE;bifurcated;26792;Avon dynamic Kids;Monaco zero defect Belgium
7;2020-02-13T05:06:03;94462;auxiliary zero defect e-tailers;34594;withdrawal;ACTIVE;Kazakhstan cross-platform;11652;schemas e-business Row;Oklahoma SSL
8;2020-02-13T03:13:53;33394;Shirt Micronesia;11135;JBOD;FAILED;optimize Operations;5708;Licensed Wooden Ball strategy bifurcated;CSS Managed e-markets
9;2020-02-13T01:57:21;78086;Cotton;20001;PNG Incredible;FAILED;Garden alarm indigo;63289;Fresh program;Interactions Bacon Berkshire
10;2020-02-13T15:06:14;20556;whiteboard Colombian Peso Unidad de Valor Real;10010;Decentralized;FAILED;intranet 24/7;39281;Awesome;incentivize View web services
